CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
18,GI/peritcan,MEGEST ORAL SUSPENSION 40MG/ML,3
18,GI/peritcan,MIRTAPINE ORALLY DISINTEGRATING TABLETS 30MG,1
18,GI/peritcan,"INDOMEN SUPPOSITORIES ""YUNG SHIN",1
18,GI/peritcan,CYPRODIN TABLETS,1
18,GI/peritcan,PROMERAN F.C. TABLETS 3.84MG ,6
18,GI/peritcan,PROMERAN INJECTION,2
18,GI/peritcan,DEXAMETHASONE INJECTION,35
18,GI/peritcan,COSPANON CAPSULES,8
18,GI/peritcan,"PEICHIA TABLETS ""P.L.",1
18,GI/peritcan,"UNDIARRHEA CAPSULES""YUNG SHIN"" (LOPERAMIDE)",9
18,GI/peritcan,"SILENCE TABLETS ""YUNG SHIN""(LORAZEPAM)",8
18,GI/peritcan,"PONSTAL CAPSULES 250MG  ""SINPHAR""(MEFENAMIC ACID)",1
18,GI/peritcan,"NAPROXEN TABLETS ""SINPHAR",2
18,GI/peritcan,"SOLU-TISONE INJECTION 100MG ""C.C.P."" (HYDROCORTISONE)",1
18,GI/peritcan,"NINCORT ORAL GEL (TRIAMCINOLONE) ""SINPHAR",1
18,GI/peritcan,"CIMETIN TABLETS (CIMETIDINE) ""JOHNSON",5
18,GI/peritcan,"LYO-POVIGEN INJECTION ""C.C.P.",1
18,GI/peritcan,"ZINGA TABLETS (ZINC GLUCONATE) ""BOWLIN",2
18,GI/peritcan,NOVAMIN INJECTION 5MG/ML (PROCHLORPERAZINE),1
18,GI/peritcan,BUSCOPAN S.C. TABLETS 10MG (HYOSCINE-N-BUTYL BROMIDE) ,3
18,GI/peritcan,"MUSCO TABLETS 30MG ""STANDARD"" (AMBROXOL HYDROCHLORIDE)",5
18,GI/peritcan,AGGLUTEX INJECTION 5000U./ML (HEPARIN SODIUM),1
18,GI/peritcan,SOLANTIN S.C. TABLETS 25MG (DIPYRIDAMOLE),6
18,GI/peritcan,"NIDOLIUM TABLETS 10MG ""SINPHAR""(DOMPERIDONE)",5
18,GI/peritcan,SINTRIX FOR INJECTION 1G (CEFTRIAXONE),3
18,GI/peritcan,"WELIZEN F.C. TABLETS 20MG ""N.K.",4
18,GI/peritcan,TRENFYLLINE S.R.F.C. TABLETS 400MG (PENTOXIFYLLINE),2
18,GI/peritcan,LYO-POVIGENT  INJECTION,1
18,GI/peritcan,"LIQUID BROWN MIXTURE (WITH OPIUM) ""CENTER",15
18,GI/peritcan,GENZOSIN TABLET 4MG (DOXAZOSIN MESYLATE),3
18,GI/peritcan,"TRANSAMIN INJECTION ""DAIICHI SANKYO",2
18,GI/peritcan,PROTASE ENTERIC COATED CAPSULES,6
18,GI/peritcan,DINIDOL S.C. TABLETS 25MG,3
18,GI/peritcan,ZOLPI F.C  TABLETS 10MG,4
18,GI/peritcan,"CODICON-U CAPSULES ""SINPHAR",4
18,GI/peritcan,SILIMA CAPSULES 150MG “PINE LAWER”,7
18,GI/peritcan,"FLUTICOSONE CREAM ""S.C.",2
18,GI/peritcan,CATILON TABLETS 40MG,1
18,GI/peritcan,ZODENOX FILM COATED TABLETS 10MG“YUNG SHIN”,4
18,GI/peritcan,XYZINE F.C. TABLETS 5MG,1
18,GI/peritcan,"LORAPSEUDO SR F.C. TABLETS 5/120MG ""CYH",9
18,GI/peritcan,ALKERAN MELPHALAN TABLETS 2MG,3
18,GI/peritcan,SLOW-K TABLETS 600MG,1
18,GI/peritcan,ENDOXAN SUGAR-COATED TABLETS,1
18,GI/peritcan,CORDARONE TABLETS,13
18,GI/peritcan,PLENDIL TABLETS 5MG,25
18,GI/peritcan,METRONIDAZOL FRESENIUS,2
18,GI/peritcan,ATEHEXAL 100 FILM TABLET,11
18,GI/peritcan,CALCIUMFOLINAT-EBEWE INJECTION 10MG/ML,10
18,GI/peritcan,GASTRO-TIMELETS,5
18,GI/peritcan,RYTMONORM 150MG FILM COATED TABLETS,6
18,GI/peritcan,CATAFLAM 25MG SUGAR-COATED TABLETS,1
18,GI/peritcan,CLARINASE REPETABS TABLETS,2
18,GI/peritcan,ABIPLATIN INJECTION 0.5MG/ML,9
18,GI/peritcan,SUCRATE GEL SUSPENSION,10
18,GI/peritcan,NORVASC TABLETS 5MG,17
18,GI/peritcan,XANAX XR EXTENDED-RELEASE TABLETS 0.5MG,1
18,GI/peritcan,COZAAR F.C.TAB. 50MG,6
18,GI/peritcan,CLEXANE INJECTION,13
18,GI/peritcan,PROCTOSEDYL OINTMENT,4
18,GI/peritcan,SEROQUEL TABLETS 25MG,11
18,GI/peritcan,BLOPRESS TAB. 8MG,1
18,GI/peritcan,CELEBREX CAPSULE 200MG,5
18,GI/peritcan,NEXIUM TAB. 40MG,30
18,GI/peritcan,"SMECTA, POWDER FOR ORAL SUSPENSION",2
18,GI/peritcan,FLUORO-URACIL GERMANY,10
18,GI/peritcan,"KABIVEN PI, EMULSION FOR INFUSION",1
18,GI/peritcan,ULTRACET TABLETS,8
18,GI/peritcan,GLIVEC FILM-COATED TABLETS 100MG,53
18,GI/peritcan,GASTER D TABLETS 20MG,2
18,GI/peritcan,FLUMARIN FOR INJECTION 1G,1
18,GI/peritcan,Harnalidge D tablets 0.2mg,4
18,GI/peritcan,BARACLUDE TABLETS 0.5MG,10
18,GI/peritcan,SUTENT CAPSULES 12.5MG,24
18,GI/peritcan,DUROGESIC D-TRANS TRANSDERMAL PATCH 12 ΜCG/H,6
18,GI/peritcan,KEMOPLAT INJECTION,5
18,GI/peritcan,AMLODIPINE BESILATE - TEVA 5MG TABLETS,3
18,GI/peritcan,Ceftriaxone Sandoz powder for IV Injection,3
18,GI/peritcan,BUSCOPAN SUGAR COATED TABLETS 10MG,1
18,GI/peritcan,"TBSF"" (20%) HUMAN ALBUMIN SOLUTION",1
18,GI/peritcan,COMBEPLEX INJECTION,1
18,GI/peritcan,GLUCOSE INJECTION 5%,2
18,GI/peritcan,MENPHENCALA LOTION,1
18,GI/peritcan,VITACICOL INJECTION,1
18,GI/peritcan,"PECOLIN SUSPENSION ""STANDARD",1
18,GI/peritcan,ISOTONIC SODIUM CHLORIDE SOLUTION,3
18,GI/peritcan,"MANNITOL INJECTION ""SINTONG",2
18,GI/peritcan,"JOHNLAX ENTERIC COATED TABLETS ""JOHNSON",4
18,GI/peritcan,"PROCHLORPERAZINE MALEATE TABLETS ""JOHNSON",4
19,Brnch/lngca,MENNA CAPSULES,2
19,Brnch/lngca,FLUCORT-F OINTMENT 0.025%,1
19,Brnch/lngca,URETROPIC TABLETS,22
19,Brnch/lngca,"SODIUM CHLORIDE INJECTION ""Y.F.",160
19,Brnch/lngca,"DEXTROSE IN SALINE INJECTION ""SINTONG",25
19,Brnch/lngca,MORPHINE HYDROCHLORIDE TABLETS 10MG,9
19,Brnch/lngca,CODEINE PHOSPHATE TABLETS 30MG,15
19,Brnch/lngca,CODEINE PHOSPHATE INJECTION 15MG/ML,7
19,Brnch/lngca,MORPHINE HYDROCHLORIDE INJECTION 10MG/ML,6
19,Brnch/lngca,"BISACODYL SUPPOSITORIES ""YUNG SHIN",7
19,Brnch/lngca,CARBETIN TABLETS,4
19,Brnch/lngca,"WINTELLIN CAPSULES ""WINSTON",2
19,Brnch/lngca,"PANACAL INJECTION ""PANBIOTIC",4
19,Brnch/lngca,"MAGNESIUM OXIDE TABLETS 250MG ""VPP",10
19,Brnch/lngca,"HYDROXOCOBALAMIN INJECTION ""TAI YU",7
19,Brnch/lngca,"ZINC OXIDE OINTMENT ""WST",1
19,Brnch/lngca,"MANNITOL INJECTION 20% ""SHUN HWA",31
19,Brnch/lngca,"COLD CAPSULES ""SWISS BRAND",115
19,Brnch/lngca,TOPSYM CREAM (FLUOCINONIDE),2
19,Brnch/lngca,"TRICODEX CREAM ""C.C.P.",27
19,Brnch/lngca,"DORISON TABLETS (DEXAMETHASONE) ""ROYAL",52
19,Brnch/lngca,KINGMIN OPHTHALMIC SOLUTION (SULFAMETHOXAZOLE),2
19,Brnch/lngca,POTASSIUM CHLORIDE INJECTION 15%,30
19,Brnch/lngca,"YONFUPHARM"" IBUPROFEN TABLETS",42
19,Brnch/lngca,B. &N. BACINEOCIN OINTMENT,10
19,Brnch/lngca,"MAGNESIUM OXIDE TABLETS ""KINGDOM",6
19,Brnch/lngca,"DEXTROSE AND SODIUM CHLORIDE INJECTION 5%/0.9% ""Y.F.",8
19,Brnch/lngca,0.45% SODIUM CHLORIDE INJECTION,1
19,Brnch/lngca,ANXIEDIN TABLETS 1MG (LORAZEPAM),3
19,Brnch/lngca,KOSOLIN SYRUP,15
19,Brnch/lngca,SABS INJECTION FOR IV INFUSION 5MG/ML,1
19,Brnch/lngca,"SOMIN TABLETS 2MG (DEXCHLORPHENIRAMINE) ""YUNG SHIN",16
19,Brnch/lngca,"ROSIS IV INJECTION ""VPP",3
19,Brnch/lngca,"SUCRAL TABLETS 500MG ""VPP"" ",4
19,Brnch/lngca,"CORT. S. OINTMENT 1% (HYDROCORTISONE ACETATE)""M.S.",2
19,Brnch/lngca,"COTRIZINE TABLETS 200MG ""SWISS"" (KETOCONAZOLE)",1
19,Brnch/lngca,COUGH MIXTURE,24
19,Brnch/lngca,U-RITIS TABLETS 250MG (NAPROXEN),1
19,Brnch/lngca,"REBAMOL TABLETS 500MG (METHOCARBAMOL) "" WINSTON ",8
19,Brnch/lngca,"FUTUSOA CREAM ""S.Y.",4
19,Brnch/lngca,"BIOFUR ACNE LOTION 50MG/GM ""SINPHAR""(SULFUR PRECIPITATED)",2
19,Brnch/lngca,TEIRIA GEL 50MG/GM(ETOFENAMATE),8
19,Brnch/lngca,"MYCOSTATIN FOR ORAL SUSPENSION 100,000 UNITS/ML (NYSTATIN)",1
19,Brnch/lngca,"GUAPHEN SYRUP 20MG/ML (GUAIFENESIN) ""CENTER",3
19,Brnch/lngca,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",123
19,Brnch/lngca,CINOLONE F.C. TABLET 250MG,2
19,Brnch/lngca,TAZOCIN LYO-INJECTION,1
19,Brnch/lngca,TINTEN TABLETS 500MG,74
19,Brnch/lngca,SECORINE SYRUP,40
19,Brnch/lngca,"COLCHICINE TABLETS 0.5MG ""S.T.",12
19,Brnch/lngca,"FYLIN RETARD F.C.TABLETS 400MG ""C.H.""(PENTOXIFYLLINE)",10
19,Brnch/lngca,"TLRAMTOR CAPSULES 50MG ""PATRON""(TRAMADOL)HYDROCHLORIDE",8
19,Brnch/lngca,BENSAU(BENZONATATE 100MG) SOFT CAPSULE,36
19,Brnch/lngca,"MORPHINE SULFATE SUSTAINED-RELEASE F.C. TABLETS 30MG ""PPCD",12
19,Brnch/lngca,AMPRAZO TABLETS 0.5 MG (ALPRAZOLAM),35
19,Brnch/lngca,"ESZO TABLETS 2MG""S.T.""(ESTAZOLAM)",10
19,Brnch/lngca,KINAX TABLETS 0.5MG (ALPRAZOLAM),3
19,Brnch/lngca,"TERADRIN TABLETS 2MG ""S.Y."" (TERAZOSIN)",1
19,Brnch/lngca,CAMADOL CAPSULES 50MG (TRAMADOL HCL),5
19,Brnch/lngca,"MEPRON POWDER FOR INJECTION 0.04GM ""GENTLE",2
19,Brnch/lngca,"COFARIN TAB 1MG ""GENTLE",13
19,Brnch/lngca,"COLONIL F.C. TABLETS 135MG   ""SWISS",5
19,Brnch/lngca,DELIBS F.C TABLETS 50MG,4
19,Brnch/lngca,ZINE ORABASE 0.1%,27
19,Brnch/lngca,KOLINCIN GEL 10MG/G,18
19,Brnch/lngca,"U-CHU"" ACEO CAPSULES RETARD 90MG",20
19,Brnch/lngca,"CLONOPAM TABLETS 0.5MG ""KINGDOM""(CLONAZEPAM)",2
19,Brnch/lngca,FERALL SOFT CAPSULES,5
19,Brnch/lngca,MECATER TABLETS 25MCG (PROCATEROL HYDROCHLORIDE HEMIHYDRATE),1
19,Brnch/lngca,"NOSMA SUSTAINED-RELEASE   MICROSPHERES CAP. 125MG ""WECAM",52
19,Brnch/lngca,"METICORT TABLETS 4MG ""KINGDOM"" (METHYLPREDNISOLONE)",7
19,Brnch/lngca,ACTEIN EFFERVESCENT TABLETS 600MG,87
19,Brnch/lngca,"U-CHU"" TONEC TABLETS 100MG (ACEC LOFENAC)",8
19,Brnch/lngca,FUCIMYCIN CREAM,3
19,Brnch/lngca,Laston Injection 30 mg/ml (Ketorolac Tromethamine),4
19,Brnch/lngca,"MOCOUGH CAPSULES ""LITA",13
19,Brnch/lngca,MOPRIDE F.C. TABLETS 5MG,42
19,Brnch/lngca,SPERSIN OINTMENT,19
19,Brnch/lngca,Gastroloc Gastro-resistant Tablets 40mg,5
19,Brnch/lngca,VIMAX FOAMING SOLUTION,1
19,Brnch/lngca,TIE SHR SHU PAP 〝P.Y〞,4
19,Brnch/lngca,GENTERMAY CREAM,9
19,Brnch/lngca,GRANTRON I.V. INJECTION 1 MG/ML,21
19,Brnch/lngca,BESMATE INHALATION SOLUTION,1
19,Brnch/lngca,B-N-O OINTMENT,2
19,Brnch/lngca,UTAPINE F.C. TABLETS 25MG“UNION”,1
19,Brnch/lngca,"FENTANYL TRANSDERMAL PATCH 25 UG/HR ""PPCD",14
19,Brnch/lngca,TETRACYCLINE OPHTHALMIC OINTMENT“WINSTON”,2
19,Brnch/lngca,MEGATUS ORAL SUSPENSION 40MG/ML,79
19,Brnch/lngca,GLUCOSE INJECTION 5%,5
19,Brnch/lngca,"TAMEDIN INJECTION 100MG/ML ""STANDARD""(CIMETIDINE)",2
19,Brnch/lngca,"STAZOLIN INJ. ""STANDARD"" (CEFAZOLIN)",9
19,Brnch/lngca,"LACTUL SYRUP 666MG/ML (LACTULOSE) ""SINPHAR",1
19,Brnch/lngca,"FLUPINE TABLETS 0.25MG ""JOHNSON"" (FLUDIAZEPAM)",17
19,Brnch/lngca,GENESAFE TABLETS 200MG (MEPHENOXALONE),1
19,Brnch/lngca,"PHYXOL INJECTION 6MG/ML ""SINPHAR",2
19,Brnch/lngca,MEGEST ORAL SUSPENSION 40MG/ML,21
19,Brnch/lngca,ANXOKAST F.C. TABLETS 10MG,3
19,Brnch/lngca,GEMMIS INJECTION 38 MG/ML,8
19,Brnch/lngca,TYXAN INJECTION,22
19,Brnch/lngca,NIRANDIL TABLETS 5 MG (NICORANDIL) “STANDARD”,3
19,Brnch/lngca,INDOY CAPSULES,1
19,Brnch/lngca,CYPRODIN TABLETS,4
19,Brnch/lngca,PROMERAN F.C. TABLETS 3.84MG ,61
19,Brnch/lngca,PROMERAN INJECTION,9
19,Brnch/lngca,DEXAMETHASONE INJECTION,122
19,Brnch/lngca,PROPRANOLOL TABLETS 10MG ,4
19,Brnch/lngca,"CORTISONE ACETATE TABLETS 25MG ""PING LAWER",1
19,Brnch/lngca,"PEICHIA TABLETS ""P.L.",3
19,Brnch/lngca,"UNDIARRHEA CAPSULES""YUNG SHIN"" (LOPERAMIDE)",26
19,Brnch/lngca,"SILENCE TABLETS ""YUNG SHIN""(LORAZEPAM)",66
19,Brnch/lngca,"PONSTAL CAPSULES 250MG  ""SINPHAR""(MEFENAMIC ACID)",2
19,Brnch/lngca,"BETAMETHASONE OINTMENT ""SINPHAR",2
19,Brnch/lngca,"NAPROXEN TABLETS ""SINPHAR",7
19,Brnch/lngca,"NINCORT ORAL GEL (TRIAMCINOLONE) ""SINPHAR",1
19,Brnch/lngca,"CIMETIN TABLETS (CIMETIDINE) ""JOHNSON",12
19,Brnch/lngca,"ZINGA TABLETS (ZINC GLUCONATE) ""BOWLIN",5
19,Brnch/lngca,"TREN CAPSULES 250MG (TRANEXAMIC ACID) ""YUNG SHIN",18
19,Brnch/lngca,"MORCASIN TABLETS ""SINPHAR",4
19,Brnch/lngca,NOVAMIN INJECTION 5MG/ML (PROCHLORPERAZINE),5
19,Brnch/lngca,"AMIZIDE TABLETS ""STANDARD",3
19,Brnch/lngca,"LATOL F.C.TABLET 200MG ""STANDARD",10
19,Brnch/lngca,"COMPESOLON TABLETS 5MG ""PINE LAWER"" (PREDNISOLONE)",54
19,Brnch/lngca,"MUSCO TABLETS 30MG ""STANDARD"" (AMBROXOL HYDROCHLORIDE)",23
19,Brnch/lngca,AGGLUTEX INJECTION 5000U./ML (HEPARIN SODIUM),1
19,Brnch/lngca,"NIDOLIUM TABLETS 10MG ""SINPHAR""(DOMPERIDONE)",8
19,Brnch/lngca,"MESYREL TABLETS 50MG ""LOTUS",1
19,Brnch/lngca,"DOXYCYCLINE CAPSULES 100MG ""P.L.",22
19,Brnch/lngca,EFUCON GEL 7.5MG/GM (METRONIDAZOLE),6
19,Brnch/lngca,SINTRIX FOR INJECTION 1G (CEFTRIAXONE),3
19,Brnch/lngca,BOKEY ENTERIC-MICROENCAPSULATED CAPSULES 100MG (ASPIRIN)  ,6
19,Brnch/lngca,"WELIZEN F.C. TABLETS 20MG ""N.K.",13
19,Brnch/lngca,"TATUMCEF POWDER FOR INJECTION""C.C.P.C."" (CEFTAZIDIME)",3
19,Brnch/lngca,FLUR DI FEN PATCH  40MG/12GM,11
19,Brnch/lngca,"LIQUID BROWN MIXTURE (WITH OPIUM) ""CENTER",116
19,Brnch/lngca,"TRAND CAPSULES 250MG ""STANDARD""(TRANEXAMIC ACID)",9
19,Brnch/lngca,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",11
19,Brnch/lngca,BUTANYL INHALATION SOLUTION 2.5MG/ML (TERBUTALINE SULFATE),9
19,Brnch/lngca,"IPRATRAN INHALATION SOLUTION 0.25MG/ML ""S.T.""(IPRATROPIUM BROMIDE)",9
19,Brnch/lngca,"BETHANECHOL TABLETS 25MG ""JOHNSON",3
19,Brnch/lngca,"THEOLIN S.R. TABLETS ""PEI.LI",2
19,Brnch/lngca,"TELIN S.R TABLETS 200MG ""STANDARD",9
19,Brnch/lngca,"VOLNA-K F.C. TABLET 25MG ""STANDARD"" (DICLOFENAC POTASSIUM) ",1
19,Brnch/lngca,"TRANSAMIN INJECTION ""DAIICHI SANKYO",1
19,Brnch/lngca,CONSRINE SYRUP,2
19,Brnch/lngca,CEFLOUR FILM COATED TABLETS 250MG,3
19,Brnch/lngca,"ANTIDOXE CREAM ""S.C.",5
19,Brnch/lngca,"DENOSIN FILM-COATED TABLETS 5MG ""LOTUS",2
19,Brnch/lngca,DINIDOL S.C. TABLETS 25MG,28
19,Brnch/lngca,ZOLPI F.C  TABLETS 10MG,25
19,Brnch/lngca,MIDATIN INJECTION 5MG/ML,2
19,Brnch/lngca,GLUCOMET F.C. TABLETS 5/500MG,8
19,Brnch/lngca,"CODICON-U CAPSULES ""SINPHAR",105
19,Brnch/lngca,CRAVIT F.C. TAB 500MG,4
19,Brnch/lngca,"SINCLOTE CAPSULES 400MG ""SINPHAR",13
19,Brnch/lngca,"FUSIDIC ACID CREAM ""PBF",13
19,Brnch/lngca,"FLUTICOSONE CREAM ""S.C.",2
19,Brnch/lngca,ZODENOX FILM COATED TABLETS 10MG“YUNG SHIN”,23
19,Brnch/lngca,XYZINE F.C. TABLETS 5MG,43
19,Brnch/lngca,SULMEZOLE EYE DROPS 4%“MEDICINE”(SULFAMETHOXAZOLE SODIUM),2
19,Brnch/lngca,"LORAPSEUDO SR F.C. TABLETS 5/120MG ""CYH",22
19,Brnch/lngca,LANOXIN DIGOXIN TABLETS 0.25MG B.P.,7
19,Brnch/lngca,SLOW-K TABLETS 600MG,1
19,Brnch/lngca,DEPAKINE GASTRO-RESISTANT TABLET 200MG,15
19,Brnch/lngca,DEPAKINE ORAL SOLUTION,14
19,Brnch/lngca,TEARS NATURALE,5
19,Brnch/lngca,CONCOR 5 MG,11
19,Brnch/lngca,NORMACOL PLUS GRANULES,2
19,Brnch/lngca,PLENDIL TABLETS 5MG,4
19,Brnch/lngca,VENTOLIN INHALER,2
19,Brnch/lngca,LIQUIFILM TEARS,4
19,Brnch/lngca,PK-MERZ FILM-COATED TABLETS,2
19,Brnch/lngca,GASTRO-TIMELETS,54
19,Brnch/lngca,CATAFLAM 25MG SUGAR-COATED TABLETS,15
19,Brnch/lngca,CLARINASE REPETABS TABLETS,12
19,Brnch/lngca,COUMADIN TABLETS 5MG,14
19,Brnch/lngca,NITROSTAT 0.6MG,1
19,Brnch/lngca,ABIPLATIN INJECTION 0.5MG/ML,35
19,Brnch/lngca,SALCOAT CAP. FOR SPRAY(0.05MG/266.65MG),2
19,Brnch/lngca,SUCRATE GEL SUSPENSION,5
19,Brnch/lngca,BRUMIXOL CREAM,2
19,Brnch/lngca,NORVASC TABLETS 5MG,22
19,Brnch/lngca,MAXIPIME INJ. (CEFEPIME)500MG,1
19,Brnch/lngca,DIFLUCAN CAPSULE 50MG,2
19,Brnch/lngca,COZAAR F.C.TAB. 50MG,5
19,Brnch/lngca,NAVELBINE 10MG/ML INJECTION SOLUTION,5
19,Brnch/lngca,SEFTEM CAPSULES,2
19,Brnch/lngca,PROCTOSEDYL OINTMENT,7
19,Brnch/lngca,KLARICID FILM-COATED 500MG TABLETS,1
19,Brnch/lngca,SEROQUEL TABLETS 25MG,4
19,Brnch/lngca,AUGMENTIN 1G F.C. TABLETS,8
19,Brnch/lngca,NERISONE FATTY OINTMENT,3
19,Brnch/lngca,SINGULAIR FILM COATED TABLETS 10MG,1
19,Brnch/lngca,NEURONTIN CAPSULES 400MG,16
19,Brnch/lngca,NEURONTIN CAPSULES 100MG,29
19,Brnch/lngca,APROVEL 300MG FILM-COATED TABLETS,9
19,Brnch/lngca,LIPITOR FILM-COATED TABLETS 10MG,3
19,Brnch/lngca,XATRAL XL 10MG,2
19,Brnch/lngca,NASONEX AQUEOUS NASAL SPRAY,23
19,Brnch/lngca,ADALAT OROS 30,1
19,Brnch/lngca,ALLEGRA TABLETS 180MG,47
19,Brnch/lngca,BEROTEC N 100MCG/PUFF METERED AEROSOL,11
19,Brnch/lngca,FLAMAZINE CREAM,2
19,Brnch/lngca,CELEBREX CAPSULE 200MG,20
19,Brnch/lngca,SERETIDE 250 ACCUHALER INHALATION POWDER 60DOSE,23
19,Brnch/lngca,NEXIUM TAB. 40MG,49
19,Brnch/lngca,AVELOX FILM-COATED TABLET 400MG,13
19,Brnch/lngca,ZITHROMAX  250MG  TABLETS,1
19,Brnch/lngca,SYMBICORT TURBUHALER 160/4.5UG/DOSE  120DOSE,21
19,Brnch/lngca,COAPROVEL 300MG/12.5MG FILM-COATED TABLES,2
19,Brnch/lngca,ZANIDIP F.C TAB. 10MG,1
19,Brnch/lngca,DIOVAN FILM-COATED TABLETS 160MG,3
19,Brnch/lngca,SERETIDE 250 EVOHALER,14
19,Brnch/lngca,UFT CAPSULES,13
19,Brnch/lngca,DETRUSITOL SR PROLONGED-RELEASE CAPSULES 4MG,3
19,Brnch/lngca,DIFFERIN CREAM 0.1%,3
19,Brnch/lngca,VFEND FILM-COATED TABLETS 50MG,9
19,Brnch/lngca,COZAAR F.C. TABLETS 100MG,3
19,Brnch/lngca,"KABIVEN PI, EMULSION FOR INFUSION",1
19,Brnch/lngca,AVELOX INFUSION SOLUTION 400MG/250ML,2
19,Brnch/lngca,CRAVIT IV SOLUTION FOR INFUSION 5MG/ML,1
19,Brnch/lngca,IRESSA FILM-COATED TABLETS 250MG,146
19,Brnch/lngca,DERMOVATE OINTMENT 0.05% (CLOBETASOL PROPIONATE),14
19,Brnch/lngca,ULTRACET TABLETS,94
19,Brnch/lngca,ARCOXIA TABLET 60MG,16
19,Brnch/lngca,EMEND CAPSULES 80MG,22
19,Brnch/lngca,EMEND CAPSULES 125MG,23
19,Brnch/lngca,ALIMTA (PEMETREXED FOR INJECTION) 500MG,15
19,Brnch/lngca,CRESTOR 10MG FILM-COATED TABLETS,3
19,Brnch/lngca,GASTER D TABLETS 20MG,6
19,Brnch/lngca,CYMBALTA 30MG,15
19,Brnch/lngca,"NAVELBINE 30MG, SOFT CAPSULE",15
19,Brnch/lngca,"NAVELBINE 20MG, SOFT CAPSULE",2
19,Brnch/lngca,TAKEPRON OD 30MG TABLETS,95
19,Brnch/lngca,Harnalidge D tablets 0.2mg,2
19,Brnch/lngca,Tarceva Film-Coated tablets 150mg,70
19,Brnch/lngca,Fosamax Plus Tablets,19
19,Brnch/lngca,JANUVIA 100 MG F.C. TABLETS,3
19,Brnch/lngca,Stilnox CR Tablet 6.25 mg,6
19,Brnch/lngca,ALOXI SOLUTION FOR INJECTION,8
19,Brnch/lngca,"SERETIDE 50/500 ACCUHALER, INHALATION POWDER",1
19,Brnch/lngca,DUROGESIC D-TRANS TRANSDERMAL PATCH 12 ΜCG/H,29
19,Brnch/lngca,Alimta for Injection 100mg,15
19,Brnch/lngca,AMARYL M FILM-COATED TABLETS 2/500MG,3
19,Brnch/lngca,AVAMYS NASAL SPRAY,21
19,Brnch/lngca,Carvedilol HEXAL Tablets 25mg,3
19,Brnch/lngca,KEMOPLAT INJECTION,6
19,Brnch/lngca,"SPIRIVA RESPIMAT 2.5MCG, SOLUTION FOR INHALATION",61
19,Brnch/lngca,Tarceva Film-coated tablets 150mg“Italy”,12
19,Brnch/lngca,Exforge film-coated tablet 5/160mg,5
19,Brnch/lngca,FOSTER,10
19,Brnch/lngca,"Onbrez Breezhaler 150 mcg inhalation powder, hard capsule",18
19,Brnch/lngca,TAXOTERE 20MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION,73
19,Brnch/lngca,BRILINTA FILM-COATED TABLETS 90 MG,1
19,Brnch/lngca,"Curam powder for injection 500/100 mg, 1000/200 mg",4
19,Brnch/lngca,Ceftriaxone Sandoz powder for IV Injection,4
19,Brnch/lngca,TETANUS TOXOID ALUM PRECIPITATED,1
19,Brnch/lngca,"FILGRASTIM INJECTION M300,300?g/0.7ML",4
19,Brnch/lngca,"LANTUS 100U/ML, SOLUTION FOR INJECTION",1
19,Brnch/lngca,MENPHENCALA LOTION,9
19,Brnch/lngca,"ACETAZOLAMIDE TABLETS ""N.Y.",1
19,Brnch/lngca,"PECOLIN SUSPENSION ""STANDARD",12
19,Brnch/lngca,"TETRACYLIN HCL OPHTHALMIC OINT  1% ""KINGDOM",10
19,Brnch/lngca,ANNA F COATED TABLETS,13
19,Brnch/lngca,UROPRIN COATED TABLETS 100MG,2
19,Brnch/lngca,"JOHNLAX ENTERIC COATED TABLETS ""JOHNSON",6
19,Brnch/lngca,DILANTIN KAPSEALS,2
19,Brnch/lngca,"FRONIL S.C. TABLETS ""JOHNSON",1
19,Brnch/lngca,"PENICILLIN V TABLETS 400000U ""C.C.P.",1
19,Brnch/lngca,"DEXAMETHASONE TABLETS ""C.C.P.",13
19,Brnch/lngca,VISTARIL CAPSULES,39
19,Brnch/lngca,ALINAMIN-F 50 S.C. TABLETS,1
19,Brnch/lngca,"PROCHLORPERAZINE MALEATE TABLETS ""JOHNSON",32
19,Brnch/lngca,DUPIN TABLETS,1
19,Brnch/lngca,"MYCOSTATINE (NYSTATINE) SUSPENSION BUVABLE 100,000IU/ML",3
20,Otrespirca,"SODIUM CHLORIDE INJECTION ""Y.F.",4
20,Otrespirca,"DEXTROSE IN SALINE INJECTION ""SINTONG",4
20,Otrespirca,MORPHINE HYDROCHLORIDE TABLETS 10MG,4
20,Otrespirca,CODEINE PHOSPHATE TABLETS 30MG,2
20,Otrespirca,MORPHINE HYDROCHLORIDE INJECTION 10MG/ML,2
20,Otrespirca,HERBESSER TABLETS,2
20,Otrespirca,"MAGNESIUM OXIDE TABLETS 250MG ""VPP",2
20,Otrespirca,"HYDROXOCOBALAMIN INJECTION ""TAI YU",2
20,Otrespirca,"EPINEPHRINE INJECTION ""VPP",2
20,Otrespirca,"MANNITOL INJECTION 20% ""SHUN HWA",4
20,Otrespirca,POTASSIUM CHLORIDE INJECTION 15%,4
20,Otrespirca,"MAGNESIUM OXIDE TABLETS ""KINGDOM",2
