drug_no,drug_name
A012730212,LIN KAN INJECITON
A012735212,"GENTAMYCIN INJECTION 40MG/ML ""C.Y."
A012735229,"GENTAMYCIN INJECTION 40MG/ML ""C.Y."
A012735238,GENTAMYCIN INJ. 40MG/ML
A012739100,"DEXON TABLETS ""MAY SEE"
A012745309,"PARMASON CREAM ""BOWLIN"
A012745316,"PARMASON CREAM ""BOWLIN"
A012745321,"PARMASON CREAM ""BOWLIN"
A012745329,"PARMASON CREAM ""BOWLIN"
A012745335,"PARMASON CREAM ""BOWLIN"
A012745338,"PARMASON CREAM ""BOWLIN"
A012745377,"PARMASON CREAM ""BOWLIN"
A012745399,"PARMASON CREAM ""BOWLIN"
A012752212,"CANTAMYCIN INJECTION 40MG (POTENCY)/ML ""PRINCE"
A012752229,"CANTAMYCIN INJECTION 40MG (POTENCY)/ML ""PRINCE"
A012752238,"CANTAMYCIN INJECTION 40MG (POTENCY)/ML ""PRINCE"
A012754140,"SPEERO GRANULES ""H.H."
A012756212,"GENTEACIN INJECTION 40MG ""FUMIN"
A012759100,"BICIDIUM TABLETS ""C.R."
A012763100,DEYANJUNN TABLETS
A012765100,IDOFEN TABLETS 200MG (IBUPROFEN)
A012776100,PSEUDOPHRINE CAPSULES
A012782100,"DOXYCYCLINE CAPSULES 100MG ""CSP"
A012803100,"EULIVER F.C. TABLETS ""H.S."
A0128031G0,"EULIVER F.C. TABLETS ""H.S."
A012804100,"SUPITON TABLETS ""S.C."
A012807100,"OUTINFLAME TABLETS ""H.H."
A012814100,"TINIDAZOLE TABLETS ""PFOSHEN"
A012817100,MEICO TABLETS 15MG
A012818100,MEICO TABLETS 30MG
A012824277,"LOW MOLECULAR DEXTRAN DEXTROSE INJECTION ""OTSUKA"
A012825100,"NITROGLYCERIN TABLETS 0.6MG ""NYSCO"
A012828100,ALUZAINE TABLETS
A0128281G0,ALUZAINE TABLETS
A012831100,"MEFEN TABLETS ""CHINTENG"
A0128311G0,"MEFEN TABLETS ""CHINTENG"
A012833100,"PYMADON TABLETS ""CHINTENG"
A012835100,ILLUME CAPSULES
A012836100,"RESERPINE TABLETS ""ASTAR"
A012837100,"HYLAZINE TABLETS ""HONTEN"
A0128371G0,"HYLAZINE TABLETS ""HONTEN"
A012854100,"UROINE S.C. TABLETS ""S.S.P."
A012858277,DICILLIN INJECTION 500MG
A012859100,FETAY TABLETS
A012860100,NONASMA TABLETS 20MG
A012876100,"BIOTASE TABLETS ""YUNG SHIN"
A012877100,"ROCOSOL CAPSULES ""C.R."
A012879177,"CEPHALEXIN GRANULES FOR SYRUP ""Y.C."
A012880100,"COUGHMIN S.C. TABLETS ""KYORIN"
A012886321,SUNBIN MEDICINE CREAM
A012886329,SUNBIN MEDICINE CREAM
A012886372,SUNBIN MEDICINE CREAM
A012886399,SUNBIN MEDICINE CREAM
A012888100,"VITAMIN E S.C. TABLETS ""YUNG CHI"
A012898100,"SERPINE TABLETS ""Y.C."
A012901321,"AYGAUSHON OINTMENT ""J.H."
A012902100,"KUAY WEY HAO TABLETS ""J.H."
A012905100,NEWFORT S.C. TABLETS
A012907100,"WEIKEPYNG S.C. TABLETS ""N.M."
A012910100,IBUFEN TABLETS 200MG
A012951100,TRIMEZOLE TABLETS
A012955100,ECON TABLETS 40MG
A012958100,TWUCOLIN CAPSULES
A012964100,"UNOUTON S.C. TABLETS ""Y.S."
A012972100,HOMAGAL TABLETS
A012973421,"GENTAMICIN EYE DROPS ""OASIS"
A012975100,"SALTOLIN TABLETS ""GENTLE"
A012986265,"DEXT-SALINE INJECTION 5:0.3 ""OTSUKA"
A012986277,"DEXT-SALINE INJECTION 5:0.3 ""OTSUKA"
A012989100,"IPUFEN TABLETS ""PFOSHEN"
A012999323,BETA CORT CREAM
A012999335,BETA CORT CREAM
A013007100,"BRONOUT TABLETS 20MG ""JINUP"
A013011100,RIPIN CAPSULES 150MG
A013012212,"SAUCON INJECTION ""H.S.C."
A013020321,"KONZIN CREAM ""CHIUPO"
A013023100,EPHEZON TABLETS
A013024177,"CEPHALEXIN GRANULES ""H.S.C."
A013024199,"CEPHALEXIN GRANULES ""H.S.C."
A013049100,SOURIREE COMNAMINE-F S.C. TABLET 50MG
A013054100,"QURMININ-H CAPSULES ""S.C."
A013077100,"HUALISHIH CAPSULES ""H.S."
A013078100,JIEE-SUAN-LONG TABLETS
A013082100,"SALBUTAMOL TABLETS ""PRINCE"
A013083100,"ISONIAZID TABLETS ""WINSTON"
A0130831G0,"ISONIAZID TABLETS ""WINSTON"" "
A013084100,"NOSCAPINE TABLETS 20MG ""H.L."
A013085100,"IBUPROFEN TABLETS 200MG ""C.S."
A013087100,"GLIBENCLAMIDE TABLETS ""H.C."
A013089100,SALBUTAMOL TABLETS
A013091100,"MEPENZOLATE TABLETS ""S.C."
A0130911G0,"MEPENZOLATE TABLETS ""S.C."
A013093100,"AMPICILLIN CAPSULES 500MG ""CHI SHENG"
A013097100,"IBUPROFEN S.C. TABLETS ""Y.S."
A013103109,HISTAPP GRANULES
A013118100,"CHLORMEZANONE TABLETS ""SHINLON"
A013119100,"DICYCLOMINE TABLETS ""S.S.P."
A013126100,HCNORITLE PIPRINHYDRINATE TABLETS
A013130100,OXELADIN CAP.
A013133100,"GLYCERYL TABLETS ""Y.C."
A013137100,"SCOPOMINE TABLETS ""C.T."
A013141209,"GENTAMYCIN INJECTION ""H.S.C."
A013141212,"GENTAMYCIN INJECTION ""H.S.C."
A013147155,MINOCYCLINE GRANULES
A013147199,MINOCYCLINE GRANULES
A013162100,"BETAMETHASONE TABLETS ""JOHNSON"
A013168100,"METOCLOPRAMIDE S.C. TABLETS ""ORIENTAL"
A013175100,"PREDNISOLONE TABLETS ""C.H."
A013178100,GLIBENCLAMIDE TABLETS
A013180100,"NALIDIXIC ACID TABLETS 500MG ""SHINLON"
A013181100,URINTESTIN TABLETS 500MG
A013184100,"RYNIN CAPSULES ""S.C."
A013198110,"AMPICILLIN POWDER FOR ORAL SUSPENSION ""VPP"
A013199209,"ORCIPRENALINE INJECTION ""S.Y."
A013205109,"BATHOLIN GRANULES ""GENTLE"
A013205199,"BATHOLIN GRANULES ""GENTLE"
A013210100,"CLORPRENALINE TABLETS ""Y.S."
A013228100,TEH LI KON ANODYNE CAPSULES(IBUPROFEN 200MG)
A013229100,"AMOXICILLIN CAPSULES ""YUNG SHIN"
A013230100,FUCOLE IBUPROFEN CAPSULES
A013236100,"VITAMIN C TABLETS 200MG ""WINSTON"
A013240100,"FLUFENAMIC ACID CAPSULES ""TK&A."
A013247100,"COBAMAMIDE CAPSULES ""C.R."
A013262421,MAXITROL OPHTHALMIC SUSPENSION
A013311100,"SILANCON TABLETS ""GENTLE"
A013329100,"RICOL CAPSULES ""YUNG SHIN"
A013333100,"IBUPROFEN CAPSULES ""C.P."
A013339151,"PANCOPAR SYRUP ""BOWLIN"
A013339157,"PANCOPAR SYRUP ""BOWLIN"
A013348100,"TRIMOX TABLETS ""PRINCE"
A013349212,"TRIAMCINOLONE SUSPENDED INJECTION 10MG ""PRINCE"
A013349229,"TRIAMCINOLONE SUSPENDED INJECTION 10MG ""PRINCE"
A013351100,"ACETAMINOPHEN TABLETS ""Y.C."
A013354277,"MANNITOL INJECTION 20% ""CHI SHENG"
A013360100,"CARBETAPENTANE CAPSULES 30MG ""S.T."
A013361100,"MEFENAMIC ACID CAPSULES ""C.H."
A013366100,"SINZUIN TABLETS ""YUNG CHI"
A013367100,"RIFAMPICIN CAPSULES ""Y.C."
A013381100,"CORTISONE ACETATE TABLETS 25MG ""PING LAWER"
A013382100,"MAGNESIUM OXIDE TABLETS 250MG ""VPP"
A013399100,PROTHIAMIN F50 S.C.TAB.
A013403209,"METHYLERGONOVINE MALEATE INJECTION ""N.K."
A013405100,"MEFENAMIC ACID CAPSULES ""N.C.P."
A013408177,"ERYTHROMYCIN ESTOLATE GRANULES ""H.S.C."
A013408199,"ERYTHROMYCIN ESTOLATE GRANULES ""H.S.C."
A013415100,"IBUPROFEN CAPSULES ""H.C."
A013425212,"METOCLOPRAMIDE INJECTION ""FUMIN"
A013429100,NEUZYM TABLETS 30MG (LYSOZYME TABLETS 30MG)
A013431100,NEUZYM TABLETS 10MG (LYSOZYME TABLETS 10MG)
A013432100,"TEDOFURYL CAPSULES ""CHIUPO"
A013433100,"ALLOPURINOL TABLETS ""MEIDER"
A013439209,"ISOPROTERENOL INJECTION ""S.Y."
A013440221,"VETHASONE SUSPENDED INJECTION ""S.Y."
A013465500,"ASPIRIN SUPPOSITORIES ""Y.S."
A013471100,"BROWN MIXTURE WITHOUT OPIUM ""METRO"
A013471118,"BROWN MIXTURE WITHOUT OPIUM ""METRO"
A013471199,"BROWN MIXTURE WITHOUT OPIUM ""METRO"
A013480100,"KANMO CAPSULES ""H.L."
A013483100,"MEFENAMIC ACID CAPSULES ""SHIN FONG"
A013491100,"SUNSHING COUGH CAPSULES ""H.H."
A013500100,"SHIN WEY JIAN TABLETS ""TK&A."
A013503100,"ERGONOVINE MALEATE TABLETS ""PFOSHEN"
A013509209,"DEXSALIN INJECTION ""CHI SHENG"
A013509265,"DEXSALIN INJECTION ""CHI SHENG"
A013509277,"DEXSALIN INJECTION ""CHI SHENG"
A013510329,"MESENZIN OINTMENT ""Y.C."
A013510338,"MESENZIN OINTMENT ""Y.C."
A013511100,"CHLOROMEZANONE TABLETS ""YUNG CHI"
A013520321,"METHASONE OINTMENT ""S.C."
A013525100,"BROMHEXINE TABLETS ""PRINCE"
A013526100,"GLIBENCLAMIDE TABLETS ""PRINCE"
A013531100,"SEDASPA S.C. TABLETS ""H.H."
A013535151,"ANTICOUGH SYRUP WITH CODEINE ""C.S.P."
A013535157,"ANTICOUGH SYRUP WITH CODEINE ""C.S.P."
A013535199,"ANTICOUGH SYRUP WITH CODEINE ""C.S.P."
A013545219,"KANAMYCIN INJECTION ""METRO"
A013545229,"KANAMYCIN INJECTION ""METRO"
A013546100,"PAPAVERINE CAPSULES ""C.S."
A013547100,"ANETHOL CAPSULES ""M.T."
A013548100,"HOWELLS TABLETS ""C.R."
A013550212,"PYRABITAL INJECTION ""SWISS"
A013557100,"TONPICON CAPSULES ""S.T."
A013565118,"DEXAMETHASONE SYRUP ""KODAK"
A013565199,"DEXAMETHASONE SYRUP ""KODAK"
A013567100,"MIAWSHYJING TABLETS ""S.T."
A013573277,"CEPHALORIDINE INJECTION ""TAI YU"
A013574238,"TAIBILONE INJECTION ""TAI YU"
A013575209,"PROGESTERONE INJECTION ""TAI YU"
A013575229,"PROGESTERONE INJECTION ""TAI YU"
A013576219,"KANAMYCIN INJECTION ""TAI YU"
A013576229,"KANAMYCIN INJECTION ""TAI YU"
A013576238,"KANAMYCIN INJECTION ""TAI YU"
A013576299,"KANAMYCIN INJECTION ""TAI YU"
A013577212,"VITAMIN C INJECTION ""TAI YU"
A013577229,"VITAMIN C INJECTION ""TAI YU"
A013577238,"VITAMIN C INJECTION ""TAI YU"
A013578209,"TRIAMCINOLONE SUSPENDED INJECTION 10MG ""TAI YU"
A013578221,"TRIAMCINOLONE SUSPENDED INJECTION 10MG ""TAI YU"
A013578229,"TRIAMCINOLONE SUSPENDED INJECTION 10MG ""TAI YU"
A013581277,"AMPICILLIN SODIUM INJECTION ""TAI YU"
A013582238,"GLUCAMETHI INJECTION ""TAI YU"
A013583209,"HYDROXOCOBALAMIN INJECTION ""TAI YU"
A013583229,"HYDROXOCOBALAMIN INJECTION ""TAI YU"
A013591100,"GRISEOFULVIN TABALETS ""Y.C."
A013594100,"GRISEOFULVIN TABLETS ""S.S.P."
A013612100,"IBUPROFEN CAPSULES ""HONTEN"
A013617100,"PROBENECID TABLETS ""SHITEH"
A013627100,"RIFAMPICIN CAPSULES ""YUNG SHIN"
A013631100,CARBINOXAMINE TAB.
A013634100,"DIPYRIDAMOLE S.C. TABLETS ""YUNG SHIN"
A0136341G0,"DIPYRIDAMOLE S.C. TABLETS ""YUNG SHIN"
A013637212,"GENTAMICIN SULFATE INJECTION ""ENSAFE"
A013637216,"GENTAMICIN SULFATE INJECTION ""N.C.P."
A013637229,"GENTAMICIN SULFATE INJECTION ""ENSAFE"
A013637238,"GENTAMICIN SULFATE INJECTION ""ENSAFE"
A013638100,"BROMPHENIRAMINE TABLETS ""J.S."
A013644100,"LONTEC TABLETS ""H.H."
A013645238,"SALCON INJECTION ""N.K."
A013647309,GENTASONE CREAM
A013647321,GENTASONE CREAM
A013647329,GENTASONE CREAM
A013647335,GENTASONE CREAM
A013647372,GENTASONE CREAM
A013647399,GENTASONE CREAM
A013650100,"INAVITA TABLETS ""WINSTON"
A0136501G0,"INAVITA TABLETS ""WINSTON"
A013651229,"FELINAMIN INJECTION ""CHI SHENG"
A013651238,"FELINAMIN INJECTION ""CHI SHENG"
A013661100,"SHAPTON CAPSULES ""CSP"
A013662100,"METRONIDAZOLE CAPSULES ""C.H."
A013663100,"SWEETS TABLETS ""C.R."
A013664100,"METRONIDAZOLE CAPSULES 250MG ""SHINLON"
A0136641G0,"METRONIDAZOLE CAPSULES 250MG ""SHINLON"
A013666100,RELAX ANALGESIC TABLETS 500MG
A013676100,"RIFAMPICIN CAPSULES ""Y.Y."
A013677100,"BETAMETHASONE TABLETS ""C.M."
A013679229,"LINCOMYCIN INJECTION ""SWISS"
A013699277,"GLUVITOSE INJECTION ""CHI SHENG"
A013709100,VIBRAMYCIN FILM COATED TABLETS 100MG
A013710100,"NALIDIXIC ACID TABLETS ""C.I."
A013711100,"CHLORAMPHENICOL CAPSULES 250MG ""C.I."
A013712100,"ERYTHROMYCIN CAPSULES 250MG ""C.I."
A013713100,"AMPICILLIN CAPSULES 250MG ""C.I."
A013714100,"ERGOMETRINE MALEATE S.C. TABLETS ""C.I."
A013718209,"5%/0.45% DEXTROSE AND SODIUM CHLORIDE INJECTION ""Y.F."
A013718277,"5%/0.45% DEXTROSE AND SODIUM CHLORIDE INJECTION ""Y.F."
A013719100,"LIBUSE S.C. TABLETS ""JEN SHENG"
A013720100,"MEFENAMIC ACID CAPSULES ""JEN SHENG"
A013722500,"METROCIDE VAGINAL SUPPOSITORIES 250MG ""T.F."
A013723100,"CHLORZOXAZONE TABLETS ""EAYUNG"
A013727100,"TETRACYCLINE HCL CAPSULES 250MG ""C.I."
A013728100,"PREDNISOLONE TABLETS ""C.I."
A013741100,"GLYCERYL GUAIACOLATE TABLETS ""N.T."
A013742100,"CHLORDIAZEPOXIDE S.C. TABLETS ""KODAK"
A013743100,PYRITHIOXIN S.C. TABLETS
A013744100,CONJUGATED ESTROGEN S.C. TABLETS
A013746100,"THIORIDAZINE S.C. TABLETS ""KODAK"
A013747100,"ANETHOLE S.C. TABLETS ""KODAK"
A013748100,AMITRIPTYLINE S.C. TABLETS
A013750100,"CLIOXIDE S.C. TABLETS ""KODAK"
A013751100,VALETHAMATE S.C. TABLETS
A013752100,"DIPYRIDAMOLE S.C. TABLETS ""KODAK"
A013753100,"BENZYDAMINE S.C. TABLETS ""KODAK"
A013761100,"TINIDAZOLE TABLETS ""HONTEN"
A013764100,"IBUPROFEN S.C. TABLETS ""KODAK"
A013766100,METOCLOPRAMIDE S.C. TABLETS
A013767100,"CHLOPERASTINE S.C. TABLETS ""KODAK"
A013771229,"GENTAMICIN INJECTION 1% ""Y.Y."
A013777100,"SO-MEN CAPSULES ""M.T."
A013778100,"NO-COUGH CAPSULES ""M.T."
A0137781G0,"NO-COUGH CAPSULES ""M.T."
A013796100,"BETAMETHASONE TABLETS ""SHINLON"
A013799100,"MEFENAMIC ACID CAPSULES ""METRO"
A013800100,"WILCON U TABLETS ""C.Y."
A013801100,"DIPYRIDAMOLE S.C. TABLETS ""STANDARD"
A0138011G0,"DIPYRIDAMOLE S.C. TABLETS ""STANDARD"
A013803100,"TRICOTON TABLETS ""G.A.P."
A013817265,"AMINOPLEX INJECTION ""TAI YU"
A013817266,"AMINOPLEX INJECTION ""TAI YU"
A013817277,"AMINOPLEX INJECTION ""TAI YU"
A013876100,"IBUPROFEN CAPSULES ""S.T."
A013879100,"COLD CAPSULES ""S.T."
A013900100,NALIDIXIC ACID TABLETS
A013906238,VITAGEN-SF INJECTION
A013907238,VITAGEN-S INJECTION
A013912209,"DEXAMETHASONE INJECTION ""PANBIOTIC"
A013912229,"DEXAMETHASONE INJECTION ""PANBIOTIC"
A013914100,"CETYL TABLETS ""S.C."
A0139141G0,"CETYL TABLETS ""S.C."
A013920277,CEFAZOLIN INJECTION
A013929238,"DEXTROSE-LACTATED RINGER'S INJECTION ""TAI YU"
A013929265,"DEXTROSE-LACTATED RINGER'S INJECTION ""TAI YU"
A013929277,"DEXTROSE-LACTATED RINGER'S INJECTION ""TAI YU"
A013955100,"ORCIPRENALINE TABLETS ""S.Y."
A013961100,SINOTRIM TABLETS
A013962100,"FRUSEMIDE TABLETS ""TA"
A013964238,"XYLITOL INJECTION ""S.Y."
A013964277,"XYLITOL INJECTION ""S.Y."
A013969100,"DEXTROMETHORPHAN TABLETS ""Y.C."
A013973100,"RESCOL CAPSULES ""C.R."
A013979100,"PYRIDOXINE HCL TABLETS 50MG ""C.I."
A013980238,"DEXTROSE INJECTION 20% ""TAI YU"
A013980277,"DEXTROSE INJECTION 20% ""TAI YU"
A013981209,"ESTRADIOL BENZOATE INJECTION ""TAI YU"
A013983212,"PYRABITAL INJECTION ""TAI YU"
A013984209,"KANAMYCIN SULFATE INJECTION 1GM ""TAI YU"
A013985209,"TESTOSTERONE CYPIONATE INJECTION ""TAI YU"
A013990100,"CHUWEIYU GRANULES ""J.H."
A013997100,MINOCIN G CAPSULES 250MG
A014014100,"DIISOPROPYLAMINE S.C. TABLETS ""KODAK"
A014015100,"SPIRONOLACTONE TABLETS 25 MG ""C. L."
A014020177,THREE-CON LIQUID
A014024429,CORTIGEN EYE-DROPS
A014024438,CORTIGEN EYE-DROPS
A014025100,KENTAMIN CAPSULES
A014027100,"RIFAZID CAPSULES ""CHIU PO"
A014030212,"METOCLOPRAMIDE INJECTION ""TAI YU"
A014040100,"CEPHALEXIN CAPSULES ""C.I."
A014044100,"PIPRINHYDRINATE S.C. TABLETS ""Y.S."
A014079100,"CLONIDINE TABLETS ""YUNG SHIN"
A014081109,"CEPHANMYCIN GRANULES ""YUNG SHIN"
A014088100,"ZUNO-NATHASID TABLETS ""Y.C."
A014092209,"PYRIDOXAL PHOSPHATE INJECTION ""Y.A."
A014093238,"GISALCON INJECTION ""Y.Y."
A014102100,"AMOXICILLIN CAPSULES ""C.I."
A014108100,SPAGASTROL TABLETS
A014111100,"PHLOROPROPIOPHENONE CAPSULES ""S.T."
A014118316,"FUMEI OINTMENT ""IDEAL"
A014118321,"FUMEI OINTMENT ""IDEAL"
A014118335,"FUMEI OINTMENT ""IDEAL"
A014118399,"FUMEI OINTMENT ""IDEAL"
A014121100,"BROMHEXINE TABLETS ""ASTAR"
A014148212,"HYDROXOCOBALAMIN INJECTION ""CHI SHENG"
A014148229,"HYDROXOCOBALAMIN INJECTION ""CHI SHENG"
A014148299,"HYDROXOCOBALAMIN  INJECTION ""CHI SHENG"
A014152212,"LINCOMYCIN INJECTION "" K.S."
A014152229,"LINCOMYCIN INJECTION "" K.S."
A014154100,"ALLOPURINOL TABLETS ""STANDARD"
A0141541G0,"ALLOPURINOL TABLETS ""STANDARD"" "
A014160100,"TRIDEAL TABLETS ""IDEAL"
A014164100,PROPRANOLOL TABLETS
A014170100,"DEXAMETHASONE TABLETS ""YUNG CHI"
A014171100,"CEPHALEXIN CAPSULES ""Y.Y."
A014174118,"MIAWELCON SYRUP ""H.H.P."
A014174151,"MIAWELCON SYRUP ""H.H.P."
A014183100,"DEXAMETHASONE TABLETS ""WINSTON"
A014184100,"PREDNISOLONE TABLETS ""WINSTON"
A0141841G0,"PREDNISOLONE TABLETS ""WINSTON"
A014185100,"DEXTROMETHORPHAN TABLETS ""WINSTON"
A014187100,"FUROSEMIDE TABLETS ""WINSTON"
A014190238,"SUAMIN INJECTION ""S.Y."
A014190277,"SUAMIN INJECTION ""S.Y."
A014194100,"DIAZEPAM TABLETS ""CHI SHENG"
A014195100,"D.A.A. TABLETS ""F.Y."
A014205238,"SURPLEX INJECTION ""CHI SHENG"
A014205277,"SURPLEX INJECTION ""CHI SHENG"
A014220100,"ANTICOLD CAPSULES ""C.S."
A014222100,"GACID TABLETS ""H.H."
A014224212,"VITAMIN B12 INJECTION ""LITA"
A014224229,"VITAMIN B12 INJECTION ""LITA"
A014227100,"BETAMETHASONE TABLETS ""YUNG SHIN"
A014228100,"ALLOPURINOL TABLETS""YUNGSHIN"
A0142281G0,"ALLOPURINOL TABLETS ""YUNGSHIN"
A014230100,"OXESILIN TABLETS ""JOHNSON"
A014233100,"RIFAMPICIN CAPSULES ""WINSTON"
A014235100,GUAPYNG TABLETS
A014238363,"ZINC OXIDE OINTMENT ""WST"
A014238399,ZINC OXIDE OINT.
A0142383AN,"ZINC OXIDE OINTMENT ""WST"
A014241212,"DIPROPHYLLIN INJECTION ""TAI YU"
A014256100,"DIPYRIDAMOLE S.C. TABLETS ""S.T."
A014258100,KAIZOLE TABLETS (MEBENDAZOLE)
A014263100,"TONCA TABLETS ""H.C.T."
A014272100,PANTOSHENG S.C. TABLETS
A014273100,"VITAMIN E S.C. TABLETS 50MG ""JOHNSON"
A014274100,"ERYTHROMYCIN CAPSULES ""UNION"
A0142741G0,"ERYTHROMYCIN CAPSULES ""UNION"
A014277100,"SAUSCON TABLETS ""ORIENT"
A014283100,"CINNARIZINE TABLETS ""KODAK"
A014287100,"TRIAMCINOLONE TABLETS ""PFOSHEN"
A014288100,"HYDRALAZINE TABLETS ""WST"
A014304212,"ANTICOUGH INJECTION ""PATRON"
A014307100,"BIOVITA TABLETS ""Y.S."
A014313100,"RESERPINE TABLETS ""J.C.S."
A014315238,"SULYCEL INJECTION ""TAI YU"
A014317209,"SPARMETRINE INJECTION ""PATRON"
A014318212,"PATOMIN INJECTION ""PATRON"
A014319100,"DEHYDROCHOLIC ACID TABLETS ""PATRON"
A014320435,"NAZAMINE NASAL DROPS ""PATRON"
A014321421,"PAMESONE OPHTHALMIC SOLUTION ""PATRON"
A014324100,"LOGEN CAPSULES 500MG ""YUNG CHI"
A014325209,"DEXAMETHASONE INJECTION ""TAI YU"
A014325229,"DEXAMETHASONE INJECTION ""TAI YU"
A014328100,SMOOTH TABLETS
A014331100,FLAMBACK TABLETS
A014332100,KOTOWI TABLETS
A014340100,"CLEMASTINE TABLETS ""PRINCE"
A014341100,"IBUPROFEN TABLETS ""PRINCE"
A014343100,"COBAMAMIDE CAPSULES ""HONTEN"
A014346100,"HYDROCHLOROTHIAZIDE TABLETS ""SHINLON"
A014348100,"METHYLSCOPOLAMINE METHYLSULFATE S.C. TABLETS ""S.S.P."
A014349212,"GENTAMICIN INJECTION 10MG/ML ""Y.F."
A014349219,"GENTAMICIN INJECTION 10MG/ML ""Y.F."
A014349229,"GENTAMICIN INJECTION 10MG/ML ""Y.F."
A014350212,"GENTAMICIN INJECTION 40MG/ML ""Y.F."
A014350219,"GENTAMICIN INJECTION 40MG/ML ""Y.F."
A014350229,"GENTAMICIN INJECTION 40MG/ML ""Y.F."
A014350238,"GENTAMICIN INJECTION 40MG/ML ""Y.F."
A014350299,GENTAMICIN INJ. 40MG/ML
A014354277,"XYLITOL INJECTION 5% ""TAI YU"
A014355209,"ATROPINE SULFATE INJECTION ""TAI YU"
A014356209,"TESTOSTERONE PROPIONATE INJECTION ""TAI YU"
A014357238,"PYRICOBAMIN INJECTION ""TAI YU"
A014359209,"ESTRADIOL CYPIONATE INJECTION ""TAI YU"
A014360212,"SKIMITIN INJECTION ""TAI YU"
A014360221,"SKIMITIN INJECTION ""TAI YU"
A014360238,"SKIMITIN INJECTION ""TAI YU"
A014361209,"NEOSTIGMINE METHYLSULFATE INJECTION ""TAI YU"
A014362209,"SPARTEINE INJECTION ""TAI YU"
A014363209,"ERGONOVINE MALEATE INJECTION ""TAI YU"
A014364238,"WATER FOR INJECTION ""TAI YU"
A014367199,"VITAMIN-B COMPLEX SYRUP ""KODAK"
A014395100,"DEXAMETHASONE TABLETS ""C.I."
A014413100,"GINCOSON TABLETS ""KODAK"
A014416118,"KOSULAN SYRUP ""KODAK"
A014416199,METOCLOPRAMIDE SYRUP 100MG
A014417100,"HEDICAN TABLETS ""KODAK"
A014418100,KOWELL-U TABLETS
A014419100,"KOSULAN CAPSULES ""KODAK"
A014420100,"DAZEPAM TABLETS ""KODAK"
A014421100,"VITAMIN E CAPSULES ""KODAK"
A014425100,"MEFENAMIC ACID CAPSULES ""KODAK"
A014426100,"BRGONOVINE MALEATE TABLETS ""KODAK"
A014427100,CLOFIBRATE CAPSULES 250MG
A014435377,VENAPAS-A OINTMENT
A014435399,VENAPAS-A OINTMENT
A014439100,ANIGI-COLD TABLETS
A014441221,"BLONDA INJECTION 5% (TRANEXAMIC ACID) ""C.C.P."
A014442212,"SULPYRINE INJECTION 25% ""TAI YU"
A014447100,"BROMELAIN ENTERIC S.C. TABLETS ""H.C.T."
A014449100,"COUGH CAPSULES ""PATRON"
A014452100,"CODEVERINE TABLETS ""PATRON"
A014453119,COTONPIN SYRUP
A014453199,COTONPIN SYRUP
A014456238,"AMINO COMPOSITE INJECTION ""TAI YU"
A014459100,"BUCLIZINE TABLETS 25MG ""C.L."
A014461100,"AIPATRON S.C. TABLETS ""PATRON"
A014462212,"ANTICOLD INJECTION ""PATRON"
A014463100,"CLORPRENALINE TABLETS ""HONTEN"
A014470229,"GENTAMICIN INJECTION ""METRO"
A014472100,"SUTONWERIN ""DOUCHI"
A014552238,SORBIT-SALINE INJECTION
A014552265,SORBIT-SALINE INJECTION
A014552277,SORBIT-SALINE INJECTION
A014555100,"GLIBENCLAMIDE TABLETS ""KINGDOM"
A014578209,"DIAZEPAM INJECTION ""T.S."
A014580100,"ETHYLPAPAVERINE HCL TABLETS ""Y.S."
A014594100,"TEDOFURYL CAPSULES ""N.W."
A014596500,"NYSTATIN VAGINAL TABLETS ""YUNG SHIN"
A014601399,"NITROFURAZONE OINTMENT ""GENTLE"
A0146013CH,"NITROFURAZONE OINTMENT ""GENTLE"
A014604100,"METHYLSCOPOLAMINE METHYLSULFATE TABLETS ""C.S."
A014607100,"ACETAMINOPHEN TABLETS 500MG ""PRINCE"
A014614212,"GENTAMYCIN INJECTION ""PANBIOTIC"
A014614229,"GENTAMYCIN INJECTION ""PANBIOTIC"
A014620435,"OXYMETAZOLINE SPRAY ""CURIE"
A014622212,"FUTIGEN-H INJECTION ""S.Y."
A014622221,"FUTIGEN-H INJECTION ""S.Y."
A014622238,"FUTIGEN-H INJECTION ""S.Y."
A014623100,"ANETHOLE CAPSULES ""Y.C."
A014624100,"BUPROFEN CAPSULES 400MG ""LITA"
A014628100,"CEPHALEXIN CAPSULES ""ENSURE"
A014638100,"DIMETHICONE TABLETS ""ASTAR"
A014641100,REDREL TSBLETS
A014642100,NITROZEPAM TABLETS
A014658309,GENTACIN CREAM
A014658372,GENTACIN CREAM
A014658399,GENTACIN CREAM
A014664229,"DEXAMETHASONE INJECTION ""WINSTON"
A014665100,"CHLORDIAZEPOXIDE CAPSULES ""PFOSHEN"
A014684100,PANACID TABLETS 500MG
A014686100,"DECANON TABLETS 500 MCG ""CHI SHENG"
A014692100,"DEXAMETHASONE TABLETS ""PANBIOTIC"
A014697100,"TRIAMCINOLONE TABLETS ""PATRON"
A014700277,"XYLITOL INJECTION 5% ""ASTAR"
A014704100,"METOCLOPRAMIDE S.C. TABLETS ""C.I."
A014722123,"SAULONLU SOLUTION ""Y.Y."
A014722199,"SAULONLU SOLUTION ""Y.Y."
A014733100,"PUSKO S.C. TABLETS ""CHEN TA"
